2025 Annual Registration (RSO),,,,,
,,,,,
SubmissionId,DateCreated,Status,Comment,OrganizationType,"How many members are in your student organization? Please use a numerical value (For example,do not use ""n/a"",use ""0"" instead)."
72472123,1/23/2025 16:07,Approved,,Registered Student Organizations,179
72429740,1/22/2025 23:55,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 400 members, but the “Roster” section of your application has 179 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Additionally, your application has been denied because your organization’s constitution is missing the following section: STATEMENT OF COMPLIANCE. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once all of your members are listed on your roster and have amended your constitution, please upload the revised copy to your application and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,400
71829164,1/2/2025 15:00,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE/PROHIBITION OF HAZING. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,400
74367013,2/28/2025 15:39,Pending,,Registered Student Organizations,10
71914145,1/7/2025 10:15,Approved,,Registered Student Organizations,35
74322089,2/27/2025 15:54,Pending,,Registered Student Organizations,82
72271282,1/18/2025 21:47,Approved,,Registered Student Organizations,60
71922385,1/7/2025 17:39,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): statement of compliance and prohibition of hazing amendments. All student organizations are required to have a constitution. You can refer to our Constitution Guidelines (https://bit.ly/40Cbnnz) if you need assistance drafting these sections. Please upload a copy of your organization’s constitution to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,60
71879106,1/5/2025 14:53,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): CONSTITUTION AMENDMENTS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,25
72403005,1/22/2025 12:56,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): CONSTITUTION AMENDMENTS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.The specific part the constitution missing is:Constitution Amendment SubmissionAll amendments or changes to this constitution must be reflected in an updated constitution that must besubmitted to Student Activities in the Office of the Dean of Students within 14 days of its approval.",Registered Student Organizations,25
72467300,1/23/2025 14:46,Approved,,Registered Student Organizations,25
74282803,2/26/2025 20:13,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 15 members, but the “Roster” section of your application has 30 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,15
74370160,2/28/2025 16:29,Approved,,Registered Student Organizations,30
72286660,1/19/2025 14:34,Approved,,Registered Student Organizations,50
73346714,2/10/2025 4:13,Approved,,Registered Student Organizations,15
72148309,1/14/2025 21:05,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 105 members, but the “Roster” section of your application has 14 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,105
74369962,2/28/2025 16:19,Approved,,Registered Student Organizations,40
74337292,2/27/2025 23:13,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 60 members, but the “Roster” section of your application has 33 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,60
74354223,2/28/2025 10:35,Approved,,Registered Student Organizations,18
74229240,2/25/2025 22:44,Approved,,Registered Student Organizations,12
74155955,2/24/2025 23:32,Denied,"Your application has been denied because your organization’s constitution is missing the following section: ELECTIONS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  Your application has been denied because there is a trademark violation in your application. The use of ""Hook 'em Horns"" and ""UT Austin"" on your social medias and in your profile picture are trademark violations. Any form of UT's name and ""Hook 'em Horns"" are trademarks of the university and cannot be used by student organizations. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,12
71827534,1/2/2025 13:32,Approved,,Registered Student Organizations,140
73044181,2/4/2025 14:40,Approved,,Registered Student Organizations,15
73841094,2/18/2025 20:22,Pending,,Registered Student Organizations,50
74113149,2/24/2025 10:03,Denied,"Your application has been denied because there is a trademark violation in your application. Have Texas before the organization name. Using 'Texas' without at Texas is a trademark of the university and cannot be used by student organizations. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,30
74225335,2/25/2025 20:54,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 43 members, but the “Roster” section of your application has 12 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu. Your application has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE/PROHIBITION OF HAZING/ELECTIONS/CONSTITUTION AMENDMENTS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,43
74353840,2/28/2025 13:26,Approved,,Registered Student Organizations,26
71825776,1/2/2025 11:21,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): Compliance, Hazing, Amendments. All student organizations are required to have a constitution. You can refer to our Constitution Guidelines (https://bit.ly/40Cbnnz) if you need assistance drafting these sections. Please upload a copy of your organization’s constitution to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,25
73033435,2/4/2025 11:08,Approved,,Registered Student Organizations,25
72265019,2/4/2025 8:40,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE/PROHIBITION OF HAZING. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu. ",Registered Student Organizations,25
74079497,2/23/2025 17:22,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 210 members, but the “Roster” section of your application has 153 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   Your application has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE/PROHIBITION OF HAZING. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,210
71894537,1/6/2025 11:47,Approved,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 150 members, but the “Roster” section of your application has 60 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu. Your application has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE/PROHIBITION OF HAZING. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu. Your application has been denied because there is a trademark violation in your application.Picture of ONLY THE TOWER. An acceptable photo would be if the tower is in the background of a group photo, however the current profile picture is a trademark of the university and cannot be used by student organizations. Please remove the trademark violation and submit a replacement on HORNSLINK, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,150
74119775,2/27/2025 11:26,Approved,,Registered Student Organizations,70
72093435,1/13/2025 16:01,Approved,,Registered Student Organizations,300
71914357,1/7/2025 10:02,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 20 members, but the “Roster” section of your application has 8 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Your organization’s roster also includes fewer than ten members. The University requires that student organizations have a minimum of ten members and that the full organization roster be posted on HornsLink. Once all of your members are listed on your roster, please re-submit your Annual Registration application. Your application also has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE, PROHIBITION OF HAZING, and CONSTITUTION AMENDMENTS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Your constitution is missing this particular section: ""All amendments or changes to this constitution must be reflected in an updated constitution that must be submitted to Student Activities in the Office of the Dean of Students within 14 days of its approval."" Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,20
74307774,2/27/2025 12:07,Approved,,Registered Student Organizations,73
74275024,2/26/2025 17:08,Denied,"Your application has been denied because there is a trademark violation in your application. The use of the tower in the profile picture by itself is not allowed, an instance where the tower can be used in the profile picture is if there are gruop members in front of the tower. The tower is a trademark of the university and cannot be used by student organizations. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.    ",Registered Student Organizations,20
72397513,1/22/2025 10:58,Approved,,Registered Student Organizations,13
71847228,1/3/2025 15:10,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE; PROHIBITION OF HAZING/; and CONSTITUTION AMENDMENTS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,13
72398521,2/24/2025 21:00,Denied,"Your application has been denied because there is a trademark violation in your application. Your website and Facebook URLs include ""UT"" before your organizations name. ""UT"" is a trademark of the university and cannot be used by student organizations in this way. Alternatively, AAPPatUT would be acceptable. Additionally, your organization’s constitution is missing the following sections: STATEMENT OF COMPLIANCE and PROHIBITION OF HAZING. Furthermore, your CONSTITUTION AMENDMENTS section is missing the following clause: ""All amendments or changes to this constitution must be reflected in an updated constitution that must be submitted to Student Activities in the Office of the Dean of Students within 14 days of its approval.""  Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance revising these sections. Once you have uploaded a revised copy our your constitution to your application and removed any trademark, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,18
74202681,2/25/2025 14:48,Approved,,Registered Student Organizations,29
74364330,2/28/2025 14:19,Pending,,Registered Student Organizations,44
71866460,1/4/2025 12:29,Approved,,Registered Student Organizations,30-40
71839222,1/3/2025 3:05,Approved,,Registered Student Organizations,31
74328104,2/27/2025 18:30,Pending,,Registered Student Organizations,40
72487637,1/24/2025 0:41,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  Your application has been denied because in the “Membership” section of your application, you stated that your organization has 250 members, but the “Roster” section of your application has 170 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,250
72709910,1/28/2025 17:41,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): CONSTITUTION AMENDMENTS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Your constitution is missing this particular section: ""All amendments or changes to this constitution must be reflected in an updated constitution that must be submitted to Student Activities in the Office of the Dean of Students within 14 days of its approval."" Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,170
72752002,1/29/2025 17:01,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE/PROHIBITION OF HAZING/ELECTIONS/CONSTITUTION AMENDMENTS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,170
72646306,1/27/2025 15:07,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): CONSTITUTION AMENDMENTS. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Your constitution is missing this particular section: ""All amendments or changes to this constitution must be reflected in an updated constitution that must be submitted to Student Activities in the Office of the Dean of Students within 14 days of its approval."" Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,170
72980507,2/3/2025 11:54,Approved,,Registered Student Organizations,170
74364094,2/28/2025 14:19,Approved,,Registered Student Organizations,15
72711827,1/28/2025 18:46,Denied,"Your application has been denied because there is a trademark violation in your application. Your profile picture has ""UT"" in it but it does not follow ""at UT"". Using only UT is a trademark of the university and cannot be used by student organizations. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,15
74309066,2/27/2025 14:06,Approved,,Registered Student Organizations,80
72643491,1/27/2025 14:25,Approved,,Registered Student Organizations,417
73831654,2/18/2025 16:50,Denied,"Your application has been denied because there is a trademark violation in your application. The phrase ""UT"" is a trademark of the university and cannot be placed in front of a registered student organization's name. This was found in your organization's social media platforms. A variant of your username, such as ""ans_atut,"" would be acceptable, as UT is placed AFTER the organization's name. Please remove the trademark and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.    ",Registered Student Organizations,40
74419716,3/1/2025 20:31,Approved,,Registered Student Organizations,40
72754281,1/29/2025 14:20,Denied,"Your application has been denied because there is a trademark violation in your application. Your organization name may not begin with University of Texas. The University of Texas (at the beginning of a student organization name) is a trademark of the university and cannot be used by student organizations. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,26
72981750,2/3/2025 12:17,Denied,"Your application has been denied because there is a trademark violation in your application. Your organization name may not begin with University of Texas. The University of Texas (at the beginning of a student organization name) is a trademark of the university and cannot be used by student organizations. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu. (AA)",Registered Student Organizations,26
73160220,2/10/2025 10:50,Approved,,Registered Student Organizations,26
71886994,1/6/2025 2:07,Approved,,Registered Student Organizations,15-20
72149426,1/14/2025 21:59,Approved,,Registered Student Organizations,24
72397452,1/22/2025 12:24,Approved,,Registered Student Organizations,200
72213801,1/16/2025 20:20,Denied,"Your application has been denied because there is a trademark violation in your application. ""UTAustin"" (UTAustinASM) is a trademark of the university and cannot be used by student organizations. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.    ",Registered Student Organizations,51
72430029,1/23/2025 0:06,Approved,,Registered Student Organizations,51
74329338,2/27/2025 19:09,Approved,,Registered Student Organizations,200
74259520,2/26/2025 12:25,Denied,"Your application has been denied because there is a trademark violation in your application. Your profile photo and constitution use a longhorn silhouette which is not allowed. The longhorn silhouette is a trademark of the university and cannot be used by student organizations. Please remove the trademark, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.    ",Registered Student Organizations,200
71825988,1/2/2025 11:37,Approved,,Registered Student Organizations,59
74120002,2/24/2025 11:48,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 35 members, but the “Roster” section of your application has 55 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,35
74421690,3/1/2025 22:52,Approved,,Registered Student Organizations,55
73258523,2/8/2025 13:21,Approved,,Registered Student Organizations,35
74236314,2/26/2025 3:05,Approved,,Registered Student Organizations,20
73106695,2/5/2025 15:35,Approved,,Registered Student Organizations,28
73056913,2/4/2025 18:53,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 70 members, but the “Roster” section of your application has 28 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,70
71896966,1/6/2025 18:39,Approved,,Registered Student Organizations,30
74364236,2/28/2025 14:05,Approved,,Registered Student Organizations,54
74258792,2/26/2025 12:14,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 90 members, but the “Roster” section of your application has 53 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,90
73361856,2/10/2025 10:40,Approved,,Registered Student Organizations,13
74070369,2/23/2025 13:00,Approved,,Registered Student Organizations,13
72036085,1/12/2025 1:49,Approved,,Registered Student Organizations,21
74132542,2/24/2025 15:23,Pending,,Registered Student Organizations,33
73007826,2/3/2025 23:00,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 100 members, but the “Roster” section of your application has 44 members listed. Please update your roster to include all active members of your organization before completing your Annual Registration application. Once all of your members are listed on your roster, please re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.   ",Registered Student Organizations,100
73039451,2/4/2025 13:09,Approved,,Registered Student Organizations,48
72399637,1/22/2025 11:54,Approved,,Registered Student Organizations,150
74376293,2/28/2025 19:32,Approved,,Registered Student Organizations,37
72211674,2/27/2025 13:03,Denied,"Your application has been denied because in the “Membership” section of your application, you stated that your organization has 15 members, but the “Roster” section of your application has 37 members listed. Additionally, your organization’s constitution is missing the following sections: STATEMENT OF COMPLIANCE and PROHIBITION OF HAZING, and your CONSTITUTION AMENDMENTS section is missing the following clause: ""All amendments or changes to this constitution must be reflected in an updated constitution that must be submitted to Student Activities in the Office of the Dean of Students within 14 days of its approval."" Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance revising these sections. Lastly, there is a trademark violation in your application. Your LinkTree, Twitter, Instagram, and Facebook usernames/URL have ""ut"" preceding the organization's name. ""UT"" is a trademark of the university and cannot be used in this manner by student organizations. Alternatively, adpacut or adpac@ut would be acceptable.  Please upload a revised copy of your constitution, update your roster, and remove any trademarks from your application and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.",Registered Student Organizations,15
74307975,2/27/2025 11:56,Approved,,Registered Student Organizations,49
73766354,2/17/2025 15:10,Approved,,Registered Student Organizations,30
74120494,2/24/2025 12:03,Denied,"Your application has been denied because your organization’s constitution is missing the following section(s): STATEMENT OF COMPLIANCE/PROHIBITION OF HAZING. Additionally we suggest that you use our templates to make REVISIONS TO YOUR AMENDMENT section to acknowledge the notification of the SOC office of any constitution changes. Please refer to our Constitution Guidelines (bit.ly/40Cbnnz) if you need assistance drafting these sections. Once you have amended your constitution, please upload the revised copy to your application, and re-submit your Annual Registration application. You will receive a notification once your application has been approved. If you have any questions, please email soc@austin.utexas.edu.  ",Registered Student Organizations,30
74312366,2/27/2025 12:54,Approved,,Registered Student Organizations,30
