Submissionid,Reason
72429740,Roster Issue
72429740,Constitution Missing
72429740,Trademark Violation
71829164,Constitution Missing
71829164,Trademark Violation
71922385,Constitution Missing
71922385,Trademark Violation
71879106,Constitution Missing
71879106,Trademark Violation
72403005,Constitution Missing
72403005,Trademark Violation
74282803,Roster Issue
74282803,Trademark Violation
72148309,Roster Issue
72148309,Trademark Violation
74337292,Roster Issue
74337292,Trademark Violation
74155955,Constitution Missing
74155955,Trademark Violation
74113149,Trademark Violation
74225335,Roster Issue
74225335,Constitution Missing
74225335,Trademark Violation
71825776,Constitution Missing
71825776,Trademark Violation
72265019,Constitution Missing
72265019,Trademark Violation
74079497,Roster Issue
74079497,Constitution Missing
74079497,Trademark Violation
71894537,Roster Issue
71894537,Constitution Missing
71894537,Trademark Violation
71914357,Roster Issue
71914357,Constitution Missing
71914357,Trademark Violation
74275024,Trademark Violation
71847228,Constitution Missing
71847228,Trademark Violation
72398521,Constitution Missing
72398521,Trademark Violation
72487637,Roster Issue
72487637,Constitution Missing
72487637,Trademark Violation
72709910,Constitution Missing
72709910,Trademark Violation
72752002,Constitution Missing
72752002,Trademark Violation
72646306,Constitution Missing
72646306,Trademark Violation
72711827,Trademark Violation
73831654,Trademark Violation
72754281,Trademark Violation
72981750,Trademark Violation
72213801,Trademark Violation
74259520,Constitution Missing
74259520,Trademark Violation
74120002,Roster Issue
74120002,Trademark Violation
73056913,Roster Issue
73056913,Trademark Violation
74258792,Roster Issue
74258792,Trademark Violation
73007826,Roster Issue
73007826,Trademark Violation
72211674,Roster Issue
72211674,Constitution Missing
72211674,Trademark Violation
74120494,Constitution Missing
74120494,Trademark Violation
71996334,Roster Issue
71996334,Trademark Violation
72147795,Roster Issue
72147795,Trademark Violation
73442980,Trademark Violation
72987454,Constitution Missing
72987454,Trademark Violation
73210186,Constitution Missing
73210186,Trademark Violation
72090720,Roster Issue
72090720,Trademark Violation
74366931,Trademark Violation
72401336,Roster Issue
72401336,Trademark Violation
71847487,Constitution Missing
71847487,Trademark Violation
72601653,Roster Issue
72601653,Trademark Violation
72564769,Roster Issue
72564769,Trademark Violation
74371332,Roster Issue
74371332,Trademark Violation
73007810,Roster Issue
73007810,Trademark Violation
73576170,Constitution Missing
73576170,Trademark Violation
74382514,Roster Issue
74382514,Constitution Missing
74382514,Trademark Violation
74113297,Constitution Missing
74113297,Trademark Violation
73031899,Constitution Missing
73031899,Trademark Violation
72457912,Constitution Missing
72457912,Trademark Violation
71849069,Constitution Missing
71849069,Trademark Violation
73105520,Constitution Missing
73105520,Trademark Violation
72399502,Roster Issue
72399502,Trademark Violation
72357820,Roster Issue
72357820,Trademark Violation
72211972,Roster Issue
72211972,Trademark Violation
73995278,Trademark Violation
71824973,Constitution Missing
72982468,Constitution Missing
72983673,Constitution Missing
72983673,Trademark Violation
72062078,Trademark Violation
74206639,Roster Issue
74206639,Trademark Violation
73335113,Roster Issue
73335113,Constitution Missing
73335113,Trademark Violation
74355562,Constitution Missing
74355562,Trademark Violation
73208108,Roster Issue
73208108,Constitution Missing
73208108,Trademark Violation
72477672,Roster Issue
72477672,Trademark Violation
72851504,Constitution Missing
72851504,Trademark Violation
73904851,Trademark Violation
73207235,Roster Issue
73207235,Trademark Violation
74372092,Roster Issue
74372092,Trademark Violation
72136739,Roster Issue
72136739,Trademark Violation
74381302,Trademark Violation
74382768,Constitution Missing
74382768,Trademark Violation
72124247,Roster Issue
72124247,Trademark Violation
71831581,Trademark Violation
72400965,Trademark Violation
74256903,Roster Issue
74256903,Trademark Violation
73669850,Roster Issue
73669850,Trademark Violation
73829076,Constitution Missing
73829076,Trademark Violation
74290594,Roster Issue
74290594,Constitution Missing
74290594,Trademark Violation
72728340,Roster Issue
72728340,Trademark Violation
71985649,Constitution Missing
71985649,Trademark Violation
73459470,Roster Issue
73459470,Constitution Missing
73459470,Trademark Violation
74369737,Constitution Missing
74369737,Trademark Violation
74233520,Constitution Missing
74233520,Trademark Violation
74313299,Roster Issue
74313299,Trademark Violation
72290004,Roster Issue
72290004,Trademark Violation
72242909,Constitution Missing
72242909,Trademark Violation
71960667,Constitution Missing
71960667,Trademark Violation
74359348,Constitution Missing
74359348,Trademark Violation
74356822,Constitution Missing
74356822,Trademark Violation
72370351,Constitution Missing
72370351,Trademark Violation
74370903,Roster Issue
74370903,Trademark Violation
73370326,Roster Issue
73370326,Trademark Violation
73361300,Constitution Missing
73361300,Trademark Violation
72606855,Roster Issue
72606855,Trademark Violation
72743685,Roster Issue
72743685,Trademark Violation
72768705,Constitution Missing
72768705,Trademark Violation
71825131,Constitution Missing
71825131,Trademark Violation
74119493,Constitution Missing
74119493,Trademark Violation
71825714,Constitution Missing
71825714,Trademark Violation
